frequency_female;frequency_male;name
0;514;ABDO
239;0;ABEGAIL
194;26697;ABEL
1045;0;ABELINA
10122;181;ABIGAIL
35;13709;ABILIO
150;12421;ABNER
111;21061;ABRAAO
0;141;ABRAMO
60;9935;ABRAO
2643;0;ACACIA
33;8085;ACACIO
0;239;ACILDO
33;297;ACIMAR
106;4594;ACIR
296;0;ADAGILSA
1003;0;ADAIANE
141;43434;ADAILTON
4673;28647;ADAIR
0;43;ADAIRSON
151;47995;ADALBERTO
9541;24;ADALGISA
4343;0;ADALGIZA
0;322;ADALMO
66;22060;ADALTO
73;2634;ADAN
292;121982;ADAO
0;6419;ADAUTO
0;1203;ADECIO
137;643;ADECIR
143;124;ADEGMAR
28;672;ADEJAIR
366;73;ADEJANE
31777;470;ADELAIDE
2242;27;ADELAINE
921;42;ADELANE
55;163;ADELCIR
753;0;ADELE
36789;119;ADELIA
1504;65;ADELINE
1592;2380;ADELIR
3897;0;ADELITA
5654;123;ADELMA
102;30396;ADELSON
73;164;ADEMAIR
197;62618;ADEMAR
0;602;ADEMILSO
69;21606;ADEMILSON
695;122923;ADEMIR
129;34137;ADENILSON
4000;8049;ADENIR
0;6364;ADEVALDO
182;1519;ADIL
2389;0;ADILENE
2324;0;ADILIA
35;194;ADILMAR
428;155002;ADILSON
2315;112;ADINA
1906;10000;ADIR
380;27;ADIRCE
56;0;ADIRLEIA
53;896;ADJAIR
0;95;ADJALMO
35;11700;ADMILSON
703;0;ADNEIA
31;0;ADNY
0;271;ADOILSON
46;17515;ADOLFO
0;195;ADONILTON
2070;148;ADREA
565621;2347;ADRIANA
45999;435;ADRIANE
321;0;ADRIANGELA
2569;270;ADRIANI
465;0;ADRIANNE
2730;335585;ADRIANO
393;27200;ADRIEL
65797;419;ADRIELE
20110;174;ADRIELI
6575;28;ADRIELLE
1786;0;ADRIELLI
115;0;ADRYANE
380;239;ADY
148;190;ADYR
0;47;AELINTON
0;63;AFIF
163;48511;AFONSO
23309;115;AGATA
13012;49;AGATHA
11482;31;AGDA
64;28397;AGENOR
30;5334;AGEU
550;0;AGLAE
156;0;AGLAER
712;125;AGLAIR
2112;26;AGNA
172;68920;AGNALDO
7718;332;AGNES
35;14663;AGOSTINHO
267;0;AGUINALDA
79;25588;AGUINALDO
9823;41;AIDA
26;0;AIDYL
38;0;AILEMA
367;113335;AILTON
1477;89;AIRA
0;1563;AIRTO
160;53026;AIRTON
136;0;AKEMY
723;0;AKIKO
0;545;ALADIM
2981;294;ALAIDES
4472;8807;ALAIR
1375;46;ALAIS
1828;205614;ALAN
67615;360;ALANA
2082;0;ALANNA
1042;0;ALANY
26;6474;ALAOR
0;77;ALAUR
15526;46;ALBA
323;467;ALBANIR
0;716;ALBARI
59;7946;ALBERT
341;108018;ALBERTO
45;15497;ALBINO
0;25;ALBONI
365;0;ALCELIA
78;3059;ALCEMIR
0;300;ALCENDINO
586;487;ALCENI
37;18714;ALCEU
700;2643;ALCI
600;54108;ALCIDES
8706;64;ALCILENE
29;0;ALCIMARI
4100;0;ALCINEIA
0;231;ALCION
26268;7630;ALCIONE
252;236;ALCIONI
388;9233;ALCIR
32;455;ALCYR
32789;104;ALDA
165;0;ALDACIRA
618;0;ALDAIZA
90;396;ALDAMIR
1086;3772;ALDEIR
29;4479;ALDEMAR
977;0;ALDENEIDE
6193;60;ALDENICE
1856;90;ALDETE
75;0;ALDIA
862;0;ALDICEIA
2290;0;ALDINA
231;2221;ALDINEI
0;317;ALDINEY
699;0;ALDIRA
381;0;ALDIVINA
105;35308;ALDO
0;280;ALDONEI
120;0;ALECANDRA
33;7275;ALECIO
36;5115;ALECSANDRO
236;0;ALECXANDRA
833;0;ALEKSANDRA
0;221;ALEKSSANDRO
124;0;ALENISE
0;667;ALERSON
16897;147;ALESANDRA
242273;1360;ALESSANDRA
1789;148702;ALESSANDRO
658;0;ALETEIA
238;0;ALETHEA
2355;309181;ALEX
181;20362;ALEXANDER
89381;1086;ALEXANDRA
2434;441663;ALEXANDRE
478;76472;ALEXANDRO
0;403;ALEXEI
0;710;ALEXON
18137;159;ALEXSANDRA
253;45536;ALEXSANDRO
2806;25;ALEXSSANDRA
655;0;ALFREDINA
140;57217;ALFREDO
0;558;ALGACIR
0;24;ALGACYR
0;237;ALGEU
191430;830;ALICE
0;152;ALICEU
0;124;ALICINO
0;4907;ALICIO
3948;21;ALIETE
509869;1868;ALINE
3337;0;ALINI
1385;0;ALINNE
1190;0;ALINY
59;174;ALIR
764;72186;ALISON
810;94270;ALISSON
819;0;ALITA
267;30678;ALLAN
4529;22;ALLANA
1723;0;ALLINE
26;2144;ALLISSON
887;477;ALMERI
18286;78;ALMERINDA
266;64288;ALMIR
10462;49;ALMIRA
27;9021;ALMIRO
0;31;ALOIZ
3750;34047;ALTAIR
110;8965;ALTAMIR
24;3132;ALTEMAR
0;1667;ALTEVIR
5049;22;ALTINA
0;259;ALTIVIR
50;18029;ALUISIO
29;0;ALVACELI
490;1537;ALVACIR
0;22;ALVANDI
1199;981;ALVANIR
266;65444;ALVARO
69;2472;ALVIMAR
0;785;ALVIN
11335;48;ALVINA
32;10257;ALVINO
2148;0;ALYNE
52;5588;ALYSSON
1979;62;ALZENI
6274;630;ALZENIR
64176;210;ALZIRA
1051;0;ALZIRENE
0;126;ALZIRIO
28;5732;AMADEUS
464624;1808;AMANDA
0;1654;AMANDIO
1451;25;AMARILDA
110;34838;AMARILDO
1159;0;AMARILIS
94;33147;AMARO
193;35866;AMAURI
0;3600;AMBROSIO
56130;152;AMELIA
119;0;AMERI
0;2039;AMILTO
118;41900;AMILTON
514;0;AMIRA
3079729;10129;ANA
4419;566;ANADIR
1064;0;ANAI
7283;327;ANAIR
20640;50;ANALIA
16354;46;ANALICE
1033;0;ANALINE
146;0;ANALIZ
2483;0;ANALU
1538;0;ANALUCIA
1319;0;ANAMARIA
220;51;ANAMIR
13231;54;ANANDA
413;18428;ANANIAS
0;137;ANAOR
1409;0;ANAPAULA
41;6433;ANASTACIO
0;356;ANATOLIO
2473;470777;ANDERSON
2658;25;ANDIARA
4833;578975;ANDRE
174949;1145;ANDREA
290970;1120;ANDREIA
507;44;ANDRELI
0;1566;ANDREO
43859;208;ANDRESA
184933;805;ANDRESSA
76;0;ANDRESSIA
79;8469;ANDREW
0;1874;ANDREWS
235;0;ANDREYA
65919;244;ANDREZA
3709;0;ANDREZZA
4237;51;ANDRIA
10784;121;ANDRIELI
1501;0;ANDRIELLE
43;0;ANDRIELLEN
748;0;ANDRIELLI
0;44;ANDRUS
214;0;ANDRYELLE
35222;161;ANE
993;0;ANELIA
896;0;ANELISA
8292;21;ANELISE
3772;0;ANELITA
1986;0;ANELIZE
31;0;ANELLA
45;0;ANEMARIE
24;0;ANEMEIRE
8871;30;ANESIA
28;8328;ANESIO
5337;21;ANETE
278058;738;ANGELA
123200;409;ANGELICA
46649;154;ANGELINA
1047;0;ANGELINE
218;31;ANGELIS
135;0;ANGELISE
32185;77;ANGELITA
0;672;ANGELITO
473;78108;ANGELO
43;8448;ANIBAL
1790;0;ANICE
257;0;ANICEIA
239;0;ANIELLI
731;0;ANIELLY
0;5536;ANILDO
0;3502;ANILSON
53;0;ANILZETE
256;127;ANIR
53;174;ANIS
7542;20;ANISIA
58;18652;ANISIO
37219;104;ANITA
22;6229;ANIZIO
55426;183;ANNA
76;0;ANNABEL
24280;70;ANNE
824;0;ANNELISE
207;0;ANNELIZE
86;0;ANNELYSE
1513;0;ANNI
1108;0;ANNIE
78;19079;ANSELMO
49;21861;ANTENOR
51;6171;ANTHONY
588783;4032;ANTONIA
101;0;ANTONIELY
4921;21;ANTONINA
8854;2567494;ANTONIO
114;12784;ANTONY
5078;38;ANY
57;0;ANYELI
303020;1004;APARECIDA
486;93950;APARECIDO
0;216;APOLIANO
2527;0;APOLONIA
63;6133;AQUILES
45;0;ARACE
2206;80;ARACELI
914;0;ARACELIA
17470;703;ARACI
3390;95;ARACY
34;1970;ARAMIS
136;111;ARARI
266;257;ARCELI
0;28;ARCESIO
50;0;ARCILEIA
429;62;ARELI
274;98;ARENI
632;0;ARETHA
829;0;ARETUSA
0;180;ARGOS
236;43368;ARI
6804;45;ARIADNE
22968;90;ARIANA
74046;325;ARIANE
940;0;ARIANNE
1118;0;ARIANY
38;0;ARIDINA
60;0;ARIDNA
23;0;ARIEDINE
2755;27128;ARIEL
296;0;ARIELEN
4486;44;ARIELI
332;0;ARIELLA
359;0;ARIELLI
2309;106;ARIENE
1361;0;ARIETE
1936;0;ARILDA
270;0;ARILDE
22;8533;ARILDO
1617;0;ARILENE
345;0;ARILZA
1059;32;ARINE
39;0;ARINILDA
55;1023;ARIOMAR
0;803;ARION
0;4628;ARIOSVALDO
0;8538;ARIOVALDO
22;8685;ARISTEU
68;15240;ARISTIDES
0;224;ARITON
59;0;ARLEANDRA
473;7825;ARLEI
2921;52;ARLEIDE
71;1011;ARLEM
17440;115;ARLENE
59608;259;ARLETE
176;3914;ARLEY
1271;1552;ARLI
155;66669;ARLINDO
655;0;ARLINE
157;53520;ARMANDO
2828;0;ARMELINDA
8936;46;ARMINDA
236;80612;ARNALDO
0;7728;ARNO
52;22548;AROLDO
986;125788;ARTHUR
975;131972;ARTUR
68;6517;ARY
76;0;ARYADNA
90;12642;ASSIS
26;0;ASSUNCION
939;0;ASTA
1364;0;ASTROGILDA
0;2518;ASTROGILDO
483;13165;ATAIDE
0;282;ATAMIR
0;5193;ATILIO
195;0;AUCILEIDE
768;0;AUDA
52;223;AUDI
630;0;AUDINEIA
63;28;AUDRE
1775;277;AUDREY
16615;95;AUGUSTA
505;104672;AUGUSTO
0;34;AULIO
2042;0;AURA
36052;91;AUREA
4350;23;AURELIA
72;19470;AURELIO
2786;113;AURENI
23;4317;AUREO
6857;23;AURICELIA
133;0;AURILENI
3497;0;AURINEIDE
19818;51;AURORA
1170;77;AUZENIR
5003;381;AVANI
677;57;AVANY
21;0;AVELAINE
5079;27;AVELINA
38;14165;AVELINO
105;0;AVENINA
20;1647;AXEL
0;3526;AYRTON
616;22;AYSLA
437;0;AYUMI
0;1086;AZARIAS
85;0;AZIZE
22;0;AZUCENA
7159;31;BALBINA
0;6339;BALTAZAR
170703;639;BARBARA
1184;0;BARTIRA
0;5217;BASILIO
26;0;BATIRA
1336;0;BEATRICE
28622;120;BEATRIS
354980;1371;BEATRIZ
81;42;BELAIR
928;0;BELINA
191;0;BELKIS
249;0;BELLA
0;5369;BELMIRO
128317;533;BENEDITA
701;213323;BENEDITO
0;1879;BENHUR
1947;57;BENILDE
0;665;BENONE
25;757;BENONI
7425;32;BENTA
79;20274;BENTO
3760;0;BENVINDA
24150;103;BERENICE
36023;188;BERNADETE
498;0;BERNADETH
212;0;BERNADETTE
5082;22;BERNARDETE
49;0;BERNARDETH
2973;0;BERNARDINA
348;56545;BERNARDO
19442;58;BETANIA
1779;0;BETHANIA
5250;0;BETINA
232855;860;BIANCA
3596;0;BIBIANA
0;1944;BOLIVAR
0;3266;BONIFACIO
0;759;BORIS
2549;0;BRANCA
69;0;BRANDALI
0;767;BRASILIO
441;0;BRAULIA
0;2829;BRAULINO
21;7704;BRAULIO
120624;627;BRENDA
30;3239;BRENNO
944;111653;BRENO
64;0;BRIANNA
6596;23;BRIGIDA
460770;2778;BRUNA
2959;0;BRUNNA
4946;663271;BRUNO
833;0;BYANCA
42;0;CACIARA
12901;33;CACILDA
1876;225902;CAIO
469851;1708;CAMILA
51746;254;CAMILE
10422;33;CAMILLA
7321;58;CAMILLE
7543;35;CAMILLY
764;0;CANDICE
18875;62;CANDIDA
218;43;CARI
264;0;CARIME
1069;34;CARIN
63313;242;CARINA
39540;179;CARINE
325334;1350;CARLA
6070;1483121;CARLOS
70;0;CARMELENE
6066;0;CARMELINA
38403;98;CARMELITA
0;1863;CARMELITO
1421;0;CARMELUCIA
78651;260;CARMEM
56433;172;CARMEN
443;4568;CARMO
23025;436;CAROL
190497;724;CAROLINA
212706;942;CAROLINE
221;0;CAROLLINA
895;0;CAROLLINE
2783;0;CASILDA
4523;0;CASSANDRA
67625;276;CASSIA
7695;42;CASSIANA
13975;104;CASSIANE
294;0;CASSIANI
214;21875;CASSIANO
0;2739;CASSIMIRO
315;53183;CASSIO
0;1188;CASSIUS
1300;0;CASTURINA
61659;206;CATARINA
478;0;CATERINA
424;0;CATHARINE
1716;0;CATHERINE
293;0;CATHIA
22;0;CATHYA
67451;164;CATIA
11821;42;CATIANE
61;0;CATILANE
950;0;CATIUCIA
3296;36;CAUANA
239;26306;CAUE
104228;269;CECILIA
186;0;CEIA
1212;0;CEILA
954;0;CELENA
2515;0;CELENE
621;24;CELENI
287;0;CELENIR
12166;818;CELESTE
12453;639;CELI
184096;420;CELIA
1503;0;CELIANA
5885;26;CELIANE
48001;126;CELINA
66;0;CELINY
291;74693;CELIO
237;0;CELIRIA
6581;22;CELITA
31707;91;CELMA
596;35;CELONI
349;130837;CELSO
23;6545;CELSON
2196;131;CENI
7012;0;CENIRA
60;0;CEONI
1460;32;CERES
1185;73;CERLI
580;118354;CESAR
22;4529;CESARIO
120;21165;CEZAR
7430;54;CHAIANE
139;300;CHANG
9990;68;CHARLENE
429;72715;CHARLES
40;179;CHARLI
13629;37;CHEILA
73;0;CHELLY
245;0;CHEYLA
1347;0;CHIARA
5928;109;CHIRLEI
3150;59;CHIRLEY
230;152;CHRIS
266;11197;CHRISTIAN
4825;0;CHRISTIANE
435;0;CHRISTIANNE
0;1705;CHRISTIANO
1417;0;CHRISTINA
961;0;CHRISTINE
21;2698;CHRISTOPHER
0;23;CHRYSTIAM
115;0;CHRYSTIANE
34;56;CHU
1055;0;CIANE
33209;123;CIBELE
4294;0;CIBELI
1661;0;CIBELLE
805;0;CIBELY
916;247711;CICERO
2317;0;CICILIA
33;0;CICLENE
145;3767;CIDINEI
20612;50;CILENE
128;0;CILIANA
1412;0;CILMARA
0;753;CILSO
277;0;CIMEIA
7100;0;CINARA
424;0;CINDIA
3116;0;CINDY
134;0;CINEZIA
2687;0;CINIRA
12908;35;CINTHIA
1593;0;CINTHYA
131533;408;CINTIA
1313;0;CINTYA
0;462;CINVAL
339;0;CIOMARA
1045;20;CIRCE
4277;61;CIRENE
0;4104;CIRILO
0;1565;CIRINEU
7241;920;CIRLEI
16570;40;CIRLENE
55;13880;CIRO
0;36;CIRUS
10656;4312;CLAIR
82626;310;CLARA
32;0;CLAREANE
1769;379;CLARI
799;0;CLARIANE
73418;223;CLARICE
7926;25;CLARINDA
13596;37;CLARISSA
1072;0;CLARITA
206;0;CLARIZA
2526;0;CLAUCIA
1115;8661;CLAUDECIR
300;51279;CLAUDEMIR
0;3092;CLAUDEMIRO
10020;108;CLAUDENICE
56;0;CLAUDENILCE
61804;329;CLAUDETE
136;0;CLAUDETH
232;0;CLAUDETTE
358175;1319;CLAUDIA
24655;192;CLAUDIANE
923;25;CLAUDICE
2160;0;CLAUDICEIA
157;0;CLAUDILENA
7798;56;CLAUDILENE
717;0;CLAUDIMARA
0;1143;CLAUDIMIRO
1438;682;CLAUDINE
1148;0;CLAUDINEA
1199;74264;CLAUDINEI
31448;99;CLAUDINEIA
64;0;CLAUDINELI
4737;54;CLAUDINETE
0;25;CLAUDINIS
0;1088;CLAUDINOR
1603;350428;CLAUDIO
0;2857;CLAUDIOMIR
20;1743;CLAUDIONEI
24;707;CLAUDIONIR
71;24125;CLAUDIONOR
1851;0;CLAUDIRENE
0;60;CLAUSON
119;0;CLAUTIDES
62;13755;CLAYTON
7925;23;CLEA
523;102878;CLEBER
99;19917;CLEBERSON
7811;138;CLECI
649;668;CLEDIR
24310;60;CLEIA
105492;881;CLEIDE
255;0;CLEIDEMARA
123;23;CLEIDENIR
1908;95;CLEIDI
3212;0;CLEIDIANA
1393;0;CLEIDINEIA
24;0;CLEILI
139;0;CLEIMARA
0;156;CLEINTON
148;0;CLEIRI
2439;67;CLEISE
89;13663;CLEISON
748;128738;CLEITON
536;0;CLEIVA
11389;29;CLELIA
745;26;CLEMAIR
5613;21;CLEMENCIA
79;10482;CLEMENTE
12674;40;CLEMILDA
25;4146;CLEMILSON
68;0;CLEMINDA
257;687;CLEMIR
1533;0;CLENICE
29;0;CLENIZE
353;89;CLEOCI
774;0;CLEODETE
2916;10148;CLEOMAR
1268;0;CLEOMARA
991;2094;CLEONE
30;177;CLEONEI
1347;703;CLEONI
90779;310;CLEONICE
2194;0;CLEONILDA
0;772;CLEONILSON
1130;1182;CLEONIR
202;0;CLEONIRA
37;419;CLEOSMAR
142;38;CLER
1025;191;CLERI
5841;0;CLERIA
36;0;CLERITA
45;11004;CLESIO
0;270;CLEUCIO
1342;1111;CLEUDIMAR
36;0;CLEUDITE
76;0;CLEUMIRA
13844;44;CLEUNICE
0;21;CLEUNILTON
76538;156;CLEUSA
277;0;CLEUSENI
49893;112;CLEUZA
183;0;CLEUZI
250;71;CLEUZIMAR
37;2153;CLEVER
78;18995;CLEVERSON
0;141;CLEVERSSON
224;0;CLEYCE
56;9629;CLEYTON
3661;0;CLICIA
0;75;CLODEMIR
66;25102;CLODOALDO
0;1869;CLODOMIRO
342;0;CLONICE
9103;86;CLOTILDE
101;48260;CLOVIS
102585;1537;CONCEICAO
5400;66;CONSUELO
885;0;CORA
137;0;CORINE
0;39;CORNELIS
