ABDO,Masculino,0,514
ABEGAIL,Feminino,239,
ABEL,Masculino,194,26697
ABELINA,Feminino,1045,
ABIGAIL,Masculino,10122,181
ABILIO,Feminino,35,13709
ABNER,Feminino,150,12421
ABRAAO,Masculino,111,21061
ABRAMO,Masculino,0,141
ABRAO,Masculino,60,9935
ACACIA,Feminino,2643,
ACACIO,Masculino,33,8085
ACILDO,Masculino,0,239
ACIMAR,Feminino,33,297
ACIR,Masculino,106,4594
ADAGILSA,Feminino,296,
ADAIANE,Feminino,1003,
ADAILTON,Masculino,141,43434
ADAIR,Feminino,4673,28647
ADAIRSON,Masculino,0,43
ADALBERTO,Masculino,151,47995
ADALGISA,Feminino,9541,24
ADALGIZA,Feminino,4343,
ADALMO,Masculino,0,322
ADALTO,Feminino,66,22060
ADAN,Feminino,73,2634
ADAO,Feminino,292,121982
ADAUTO,Masculino,0,6419
ADECIO,Masculino,0,1203
ADECIR,Masculino,137,643
ADEGMAR,Feminino,143,124
ADEJAIR,Masculino,28,672
ADEJANE,Masculino,366,73
ADELAIDE,Masculino,31777,470
ADELAINE,Masculino,2242,27
ADELANE,Feminino,921,42
ADELCIR,Feminino,55,163
ADELE,Feminino,753,
ADELIA,Feminino,36789,119
ADELINE,Masculino,1504,65
ADELIR,Masculino,1592,2380
ADELITA,Feminino,3897,
ADELMA,Feminino,5654,123
ADELSON,Masculino,102,30396
ADEMAIR,Feminino,73,164
ADEMAR,Masculino,197,62618
ADEMILSO,Masculino,0,602
ADEMILSON,Feminino,69,21606
ADEMIR,Feminino,695,122923
ADENILSON,Masculino,129,34137
ADENIR,Masculino,4000,8049
ADEVALDO,Masculino,0,6364
ADIL,Feminino,182,1519
ADILENE,Feminino,2389,
ADILIA,Feminino,2324,
ADILMAR,Feminino,35,194
ADILSON,Feminino,428,155002
ADINA,Feminino,2315,112
ADIR,Feminino,1906,10000
ADIRCE,Feminino,380,27
ADIRLEIA,Feminino,56,
ADJAIR,Masculino,53,896
ADJALMO,Masculino,0,95
ADMILSON,Feminino,35,11700
ADNEIA,Feminino,703,
ADNY,Feminino,31,
ADOILSON,Masculino,0,271
ADOLFO,Feminino,46,17515
ADONILTON,Masculino,0,195
ADREA,Feminino,2070,148
ADRIANA,Feminino,565621,2347
ADRIANE,Feminino,45999,435
ADRIANGELA,Feminino,321,
ADRIANI,Masculino,2569,270
ADRIANNE,Feminino,465,
ADRIANO,Masculino,2730,335585
ADRIEL,Feminino,393,27200
ADRIELE,Feminino,65797,419
ADRIELI,Feminino,20110,174
ADRIELLE,Feminino,6575,28
ADRIELLI,Feminino,1786,
ADRYANE,Feminino,115,
ADY,Feminino,380,239
ADYR,Masculino,148,190
AELINTON,Masculino,0,47
AFIF,Masculino,0,63
AFONSO,Masculino,163,48511
AGATA,Feminino,23309,115
AGATHA,Masculino,13012,49
AGDA,Masculino,11482,31
AGENOR,Feminino,64,28397
AGEU,Masculino,30,5334
AGLAE,Feminino,550,
AGLAER,Feminino,156,
AGLAIR,Feminino,712,125
AGNA,Masculino,2112,26
AGNALDO,Masculino,172,68920
AGNES,Feminino,7718,332
AGOSTINHO,Feminino,35,14663
AGUINALDA,Feminino,267,
AGUINALDO,Feminino,79,25588
AIDA,Feminino,9823,41
AIDYL,Feminino,26,
AILEMA,Feminino,38,
AILTON,Feminino,367,113335
AIRA,Masculino,1477,89
AIRTO,Masculino,0,1563
AIRTON,Masculino,160,53026
AKEMY,Feminino,136,
AKIKO,Feminino,723,
ALADIM,Masculino,0,545
ALAIDES,Feminino,2981,294
ALAIR,Masculino,4472,8807
ALAIS,Masculino,1375,46
ALAN,Masculino,1828,205614
ALANA,Feminino,67615,360
ALANNA,Feminino,2082,
ALANY,Feminino,1042,
ALAOR,Masculino,26,6474
ALAUR,Masculino,0,77
ALBA,Masculino,15526,46
ALBANIR,Masculino,323,467
ALBARI,Masculino,0,716
ALBERT,Masculino,59,7946
